% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
48 +5.043548322e+00 +5.043548322e+00 +4.258935147e+03 +8.370933553e+02 -6.2166e-01 -3.1275e+00 +3.6499e+00 -8.3432e-01 +1.8064e+00 -5.2790e-01 +3.7154e+00 -3.5991e+00 -1.6480e+00 +2.0098e+00
102 +2.307394238e+00 +2.307394238e+00 +4.385132423e+02 +2.204693305e+02 +7.9266e-01 -2.1944e+00 -1.7221e+00 -2.8167e+00 -2.5338e+00 -5.9074e-01 +3.3618e-01 -2.1591e-01 +4.1233e+00 +4.2329e+00
1932 +1.458564381e+00 +1.458564381e+00 +3.461040030e+04 +2.140127080e+02 +2.7580e+00 +3.1473e-01 +3.3533e-01 -1.9056e+00 -5.4354e-01 -3.3754e+00 +1.0090e+00 -1.7529e-01 +2.9600e+00 -2.2213e+00
24851 +8.838781580e-01 +8.838781580e-01 +2.896494628e+02 +2.140127080e+02 +1.0798e+00 +1.0345e-01 +3.0834e-01 -1.9592e-01 -4.2294e-01 +3.1148e+00 -1.8550e+00 +1.2711e+00 +3.8860e+00 +7.7063e-01
54213 +5.233057756e-01 +5.233057756e-01 +2.491368616e+02 +2.140100253e+02 -3.5184e-01 -4.6006e-01 -7.5676e-01 +1.5633e+00 +7.1772e-01 -1.4845e+00 +1.4914e-01 +7.2902e-01 -1.1163e+00 +1.5244e+00
320631 +3.730867368e-01 +3.730867368e-01 +2.150099293e+02 +2.140100253e+02 -1.3395e+00 -7.5693e-01 +2.6231e+00 -1.5527e+00 +3.1625e-01 -1.5749e+00 +8.3992e-01 +6.3049e-01 +2.6239e-01 +1.0594e+00
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.620411845e+03 +2.620411845e+03 +2.845341724e+03 +2.845341724e+03 +1.0881e+00 -3.5102e+00 +4.4389e-01 +1.2980e+00 +2.4542e+00 -7.5984e+00 -4.7214e+00 -9.3474e+00 +4.2897e+00 -4.2087e+00
3 +3.692365654e+02 +3.692365654e+02 +2.679393880e+05 +2.845341724e+03 -4.9224e-01 +3.7873e+00 -5.1629e+00 +1.0654e+00 +6.8900e-02 -6.1141e+00 +2.8024e+00 -6.5073e+00 +3.0712e+00 +4.9475e+00
4 +7.519899663e+00 +7.519899663e+00 +2.418758601e+02 +2.418758601e+02 +4.7894e+00 +4.4030e+00 -2.5033e-01 -1.2846e+00 +4.4257e+00 -1.2455e+00 -2.7457e+00 -1.2514e+00 +2.9399e+00 -5.5918e-01
